businessCategory,carLicense,cn,departmentNumber,description,destinationIndicator,displayName,distinguishedName,employeeNumber,employeeType,facsimileTelephoneNumber,givenName,homePhone,homePostalAddress,initials,internationaliSDNNumber,l,mail,manager,mobile,o,ou,pager,physicalDeliveryOfficeName,postOfficeBox,postalAddress,postalCode,preferredDeliveryMethod,preferredLanguage,registeredAddress,roomNumber,secretary,seeAlso,sn,st,street,telephoneNumber,teletexTerminalIdentifier,telexNumber,title,uid,objectClass,memberOf,objectSid,objectguid,sAMAccountName,primaryGroupID,primaryGroupDN,accountFlags,department,msNPCallingStationID,msRADIUSFramedRoute,msNPAllowDialin,msRADIUSCallbackNumber,msRADIUSFramedIPAddress,mailNickname,homeMDB,msExchHideFromAddressLists,msRTCSIP-UserEnabled,SipAddress,RegistrarPool,LyncPinSet,LyncPinLockedOut,pwdLastSet,msDS-PrincipalName,userPrincipalName,lastLogonTimestamp
,,Jennie.Gaut,MTK,,,Jennie J. Gaut,"CN=Jennie.Gaut,OU=Usa,OU=NA,DC=abc,DC=local",372313,,,Jennie,,,,,,jgaut@abccorp.com,,,,,,,,,,,,,,,,Gaut,"Austin, TX",,,,,Maintenance Technician II,,top,,S-1-5-21-1622704856-2119577735-116698500-1192,{20af479b-8e10-478d-b065-82b225196f9c},Jennie.Gaut,513,,Normal User Account,Maintenance K,,,Not Set,,,,,,,,,,,0,ABC\Jennie.Gaut,,
,,Jinny.Pothier,,,,Jinny M Pothier,"CN=Jinny.Pothier,OU=Usa,OU=NA,DC=abc,DC=local",146181,,,Jinny,,,,,,jpothier@abccorp.com,,,,,,,,,,,,,,,,Pothier,"Phoenix, AZ",,,,,Sr. HRIS Project Mgr/BA,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1186,{31c0cf49-546e-4e24-ace9-940143cf927c},Jinny.Pothier,513,,Normal User Account,Information Systems,,,Not Set,,,,,,,,,,,0,ABC\Jinny.Pothier,,
,,Joesph.Yeager,,,,Joesph  Yeager,"CN=Joesph.Yeager,OU=Usa,OU=NA,DC=abc,DC=local",847025,,,Joesph,,,,,,jyeager@abccorp.com,,,,,,,,,,,,,,,,Yeager,"Minneapolis, MN",,,,,Maintenance,,top,"CN=Niagara Falls,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1206,{cf86990c-1a92-4034-b369-18b165582517},Joesph.Yeager,513,,Normal User Account,Niagara Falls,,,Not Set,,,,,,,,,,,0,ABC\Joesph.Yeager,,
,,Johnetta.Marcelino,,,,"Johnetta, Marcelino (Contractor)","CN=Johnetta.Marcelino,OU=Usa,OU=NA,DC=abc,DC=local",15430131,,,Johnetta,,,,,,,,,,,,,,,,,,,,,,Marcelino,,,,,,Temp,,top,,S-1-5-21-1622704856-2119577735-116698500-1228,{dfbb971f-3f4e-4d7c-853a-ece18c2b1e5d},Johnetta.Marcelino,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Johnetta.Marcelino,,
,,Karina.Mirelez,SDAD,,,Karina A Mirelez,"CN=Karina.Mirelez,OU=Usa,OU=NA,DC=abc,DC=local",749775,,,Karina,,,,,,kmirelez@abccorp.com,,,,,,,,,,,,,,,,Mirelez,"Chicago, IL",,,,,VP Sales Support & Devel,,top,,S-1-5-21-1622704856-2119577735-116698500-1171,{906cd533-76b1-4cdc-a615-7fd6e3b5c83f},Karina.Mirelez,513,,Normal User Account,Sales Directors & Admin,,,Not Set,,,,,,,,,,,0,ABC\Karina.Mirelez,,
,,Karren.Raschke,,,,Karren R. Raschke,"CN=Karren.Raschke,OU=Usa,OU=NA,DC=abc,DC=local",859879,,,Karren,,,,,,kraschke@abccorp.com,,,,,,,,,,,,,,,,Raschke,"Portland, OR",,,,,Class A MECH MW,,top,,S-1-5-21-1622704856-2119577735-116698500-1168,{7d887b20-617a-4e0c-bfb2-d0a8cd937081},Karren.Raschke,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Karren.Raschke,,
,,Kelli.Mulvey,,,,Kelli  Mulvey,"CN=Kelli.Mulvey,OU=Usa,OU=NA,DC=abc,DC=local",746829,,,Kelli,,,,,,kmulvey@abccorp.com,,,,,,,,,,,,,,,,Mulvey,"Austin, TX",,,,,Pkg Line 3 Operator,,top,"CN=Niagara Falls,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1147,{23337077-4a19-41ac-b25d-8511f95fcba5},Kelli.Mulvey,513,,Normal User Account,Niagara Falls,,,Not Set,,,,,,,,,,,0,ABC\Kelli.Mulvey,,
,,Kellie.Parr,H,,,Kellie L Parr,"CN=Kellie.Parr,OU=Usa,OU=NA,DC=abc,DC=local",305737,,,Kellie,,,,,,kparr@abccorp.com,,,,,,,,,,,,,,,,Parr,"Atlanta, GA",,,,,Operator,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1143,{74c7cc4e-07f3-48ee-8b07-57d51077047e},Kellie.Parr,513,,Normal User Account,H Shift,,,Not Set,,,,,,,,,,,0,ABC\Kellie.Parr,,
,,Kiara.Schor,HMRS,,,Kiara J Schor,"CN=Kiara.Schor,OU=Usa,OU=NA,DC=abc,DC=local",299989,,,Kiara,,,,,,kschor@abccorp.com,,,,,,,,,,,,,,,,Schor,"Minneapolis, MN",,,,,Receptionist Admin Asst,,top,,S-1-5-21-1622704856-2119577735-116698500-1190,{963219ed-e158-476c-b4b5-48f70eca96a9},Kiara.Schor,513,,Normal User Account,Human Resources,,,Not Set,,,,,,,,,,,0,ABC\Kiara.Schor,,
,,Kina.Macarthur,,,,"Kina, Macarthur (Contractor)","CN=Kina.Macarthur,OU=Usa,OU=NA,DC=abc,DC=local",15432847,,,Kina,,,,,,,,,,,,,,,,,,,,,,Macarthur,,,,,,Contractor ? Swift,,top,,S-1-5-21-1622704856-2119577735-116698500-1247,{ecd74cd0-2900-40e6-a36c-a0e8ee582a2b},Kina.Macarthur,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Kina.Macarthur,,
,,Kizzy.Drees,,,,"Kizzy, Drees (Contractor)","CN=Kizzy.Drees,OU=Usa,OU=NA,DC=abc,DC=local",15430806,,,Kizzy,,,,,,,,,,,,,,,,,,,,,,Drees,,,,,,Tote Dump Temporary,,top,,S-1-5-21-1622704856-2119577735-116698500-1226,{fc0d8a48-f535-44e5-afe3-10d1f68215c3},Kizzy.Drees,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Kizzy.Drees,,
,,Lang.Helper,,,,"Lang, Helper (Contractor)","CN=Lang.Helper,OU=Usa,OU=NA,DC=abc,DC=local",15429712,,,Lang,,,,,,,,,,,,,,,,,,,,,,Helper,,,,,,Contractor - Office,,top,,S-1-5-21-1622704856-2119577735-116698500-1215,{0e6cf9c2-da60-4e3a-95e3-644b3c1e8cfd},Lang.Helper,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Lang.Helper,,
,,Laquanda.Huffstutler,,,,Laquanda  Huffstutler,"CN=Laquanda.Huffstutler,OU=Usa,OU=NA,DC=abc,DC=local",143929,,,Laquanda,,,,,,lhuffstutler@abccorp.com,,,,,,,,,,,,,,,,Huffstutler,"Nashville, TN",,,,,PowerBar CA Hourly,,top,,S-1-5-21-1622704856-2119577735-116698500-1129,{2ae6e104-aea5-4bc6-bce8-f0e75451b4c2},Laquanda.Huffstutler,513,,Normal User Account,Toronto,,,Not Set,,,,,,,,,,,0,ABC\Laquanda.Huffstutler,,
,,Lasandra.Zwiebel,,,,"Lasandra, Zwiebel (Contractor)","CN=Lasandra.Zwiebel,OU=Usa,OU=NA,DC=abc,DC=local",15431234,,,Lasandra,,,,,,,,,,,,,,,,,,,,,,Zwiebel,,,,,,Temp,,top,,S-1-5-21-1622704856-2119577735-116698500-1234,{93ed9319-d0bc-42e7-8992-099e57b86381},Lasandra.Zwiebel,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Lasandra.Zwiebel,,
,,Laurel.Ley,X,,,Laurel F Ley,"CN=Laurel.Ley,OU=Usa,OU=NA,DC=abc,DC=local",859753,,,Laurel,,,,,,lley@abccorp.com,,,,,,,,,,,,,,,,Ley,"Denver, CO",,,,,Sr. Manufacturing Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1193,{d918128f-31d8-41e3-8d77-2888667c581e},Laurel.Ley,513,,Normal User Account,X Shift,,,Not Set,,,,,,,,,,,0,ABC\Laurel.Ley,,
,,Lavonne.Kall,,,,Lavonne D Kall,"CN=Lavonne.Kall,OU=Usa,OU=NA,DC=abc,DC=local",211965,,,Lavonne,,,,,,lkall@abccorp.com,,,,,,,,,,,,,,,,Kall,"Oklahoma City, OK",,,,,B2 Sanitation SPEC/4 Buil,,top,,S-1-5-21-1622704856-2119577735-116698500-1197,{7e7240db-74f0-4b77-a325-6f60667509ef},Lavonne.Kall,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Lavonne.Kall,,
,,Leah.Caya,,,,"Leah, Caya (Contractor)","CN=Leah.Caya,OU=Usa,OU=NA,DC=abc,DC=local",15431233,,,Leah,,,,,,,,,,,,,,,,,,,,,,Caya,,,,,,Contractor - Swift,,top,,S-1-5-21-1622704856-2119577735-116698500-1237,{3faa5888-7a44-4c26-8eba-ccb606a08dec},Leah.Caya,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Leah.Caya,,
,,Lisha.Eckenrode,J,,,Lisha K Eckenrode,"CN=Lisha.Eckenrode,OU=Usa,OU=NA,DC=abc,DC=local",565985,,,Lisha,,,,,,leckenrode@abccorp.com,,,,,,,,,,,,,,,,Eckenrode,"Oklahoma City, OK",,,,,Ph 6 Pkg Team Member,,top,,S-1-5-21-1622704856-2119577735-116698500-1188,{08a2e1d2-cf18-49e9-9ede-6be4dec5a964},Lisha.Eckenrode,513,,Normal User Account,J Shift,,,Not Set,,,,,,,,,,,0,ABC\Lisha.Eckenrode,,
,,Loma.Au,CUSSO,,,Loma R Au,"CN=Loma.Au,OU=Usa,OU=NA,DC=abc,DC=local",996253,,,Loma,,,,,,lau@abccorp.com,,,,,,,,,,,,,,,,Au,"Washington, DC",,,,,Customer Solutions Rep,,top,,S-1-5-21-1622704856-2119577735-116698500-1152,{677b5c3a-3eaf-49bf-be0f-e6194266c352},Loma.Au,513,,Normal User Account,Customer Solutions,,,Not Set,,,,,,,,,,,0,ABC\Loma.Au,,
,,Mandi.Evensen,,,,"Mandi, Evensen (Contractor)","CN=Mandi.Evensen,OU=Usa,OU=NA,DC=abc,DC=local",15430487,,,Mandi,,,,,,,,,,,,,,,,,,,,,,Evensen,,,,,,Contractor Geodis,,top,,S-1-5-21-1622704856-2119577735-116698500-1214,{c13715af-1fa6-426f-9f0b-e5fa05b21ecd},Mandi.Evensen,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Mandi.Evensen,,
,,Marcelino.Tomes,,,,Marcelino S Tomes,"CN=Marcelino.Tomes,OU=Usa,OU=NA,DC=abc,DC=local",381998,,,Marcelino,,,,,,mtomes@abccorp.com,,,,,,,,,,,,,,,,Tomes,"Oklahoma City, OK",,,,,Cdn. Director of Sales,,top,,S-1-5-21-1622704856-2119577735-116698500-1128,{3ffe6c30-90c2-4f2e-8d39-6f7515228861},Marcelino.Tomes,513,,Normal User Account,Toronto,,,Not Set,,,,,,,,,,,0,ABC\Marcelino.Tomes,,
,,Maricruz.Trojacek,K,,,Maricruz L Trojacek,"CN=Maricruz.Trojacek,OU=Usa,OU=NA,DC=abc,DC=local",129854,,,Maricruz,,,,,,mtrojacek@abccorp.com,,,,,,,,,,,,,,,,Trojacek,"Atlanta, GA",,,,,Ph 7 Proc Team Member,,top,,S-1-5-21-1622704856-2119577735-116698500-1145,{a2cd402c-57d1-4fcb-ab00-12b31d1ca1a6},Maricruz.Trojacek,513,,Normal User Account,K Shift,,,Not Set,,,,,,,,,,,0,ABC\Maricruz.Trojacek,,
,,Marinda.Barbieri,DISTA,,,Marinda L Barbieri,"CN=Marinda.Barbieri,OU=Usa,OU=NA,DC=abc,DC=local",480862,,,Marinda,,,,,,mbarbieri@abccorp.com,,,,,,,,,,,,,,,,Barbieri,"Portland, OR",,,,,Warehouse Supervisor,,top,,S-1-5-21-1622704856-2119577735-116698500-1135,{a0f33c70-6bb6-44f8-a9f1-bddd902b84ea},Marinda.Barbieri,513,,Normal User Account,Distribution Admin,,,Not Set,,,,,,,,,,,0,ABC\Marinda.Barbieri,,
,,Maud.Vazquez,X,,,Maud J Vazquez,"CN=Maud.Vazquez,OU=Usa,OU=NA,DC=abc,DC=local",299464,,,Maud,,,,,,mvazquez@abccorp.com,,,,,,,,,,,,,,,,Vazquez,"Los Angeles, CA",,,,,Packaging Technician,,top,,S-1-5-21-1622704856-2119577735-116698500-1209,{837c767f-72b9-4632-a471-13f82aa9952a},Maud.Vazquez,513,,Normal User Account,X Shift,,,Not Set,,,,,,,,,,,0,ABC\Maud.Vazquez,,
,,Melina.Rafter,,,,Melina P Rafter,"CN=Melina.Rafter,OU=Usa,OU=NA,DC=abc,DC=local",795376,,,Melina,,,,,,mrafter@abccorp.com,,,,,,,,,,,,,,,,Rafter,"Oklahoma City, OK",,,,,B1 BBM/5th Floor/32 BLDG,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1185,{6c4b11bb-88bc-4d1e-8d66-84ca0a8b19aa},Melina.Rafter,513,,Normal User Account,Battle Creek,,,Not Set,,,,,,,,,,,0,ABC\Melina.Rafter,,
,,Molly.Chaparro,,,,Molly M Chaparro,"CN=Molly.Chaparro,OU=Usa,OU=NA,DC=abc,DC=local",928545,,,Molly,,,,,,mchaparro@abccorp.com,,,,,,,,,,,,,,,,Chaparro,"Washington, DC",,,,,Oatwise Processing,,top,"CN=Niagara Falls,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1195,{2ec13f9d-0b71-4ffb-969b-47d59b1dd97a},Molly.Chaparro,513,,Normal User Account,Niagara Falls,,,Not Set,,,,,,,,,,,0,ABC\Molly.Chaparro,,
,,Monte.Montealegre,CSIN,,,Monte N Montealegre,"CN=Monte.Montealegre,OU=Usa,OU=NA,DC=abc,DC=local",972621,,,Monte,,,,,,mmontealegre@abccorp.com,,,,,,,,,,,,,,,,Montealegre,"Minneapolis, MN",,,,,Associate Brand Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1181,{d80a9818-828a-44de-8980-1cd5b6f9f530},Monte.Montealegre,513,,Normal User Account,Consumer Strategy&Insight,,,Not Set,,,,,,,,,,,0,ABC\Monte.Montealegre,,
,,Morgan.Rhymes,PRMKT,,,Morgan N Rhymes,"CN=Morgan.Rhymes,OU=Usa,OU=NA,DC=abc,DC=local",184074,,,Morgan,,,,,,mrhymes@abccorp.com,,,,,,,,,,,,,,,,Rhymes,"Chicago, IL",,,,,Dir Bus Leadership Group,,top,,S-1-5-21-1622704856-2119577735-116698500-1158,{cc1e0479-1d5f-4ab4-af02-e3b3f7c53658},Morgan.Rhymes,513,,Normal User Account,Product Marketing,,,Not Set,,,,,,,,,,,0,ABC\Morgan.Rhymes,,
,,Nicholle.Barthel,,,,Nicholle  Barthel,"CN=Nicholle.Barthel,OU=Usa,OU=NA,DC=abc,DC=local",621999,,,Nicholle,,,,,,nbarthel@abccorp.com,,,,,,,,,,,,,,,,Barthel,"Charlotte, NC",,,,,PowerBar CA Hourly,,top,,S-1-5-21-1622704856-2119577735-116698500-1204,{6122a7b3-3a13-4165-8386-1be0cdf97687},Nicholle.Barthel,513,,Normal User Account,Toronto,,,Not Set,,,,,,,,,,,0,ABC\Nicholle.Barthel,,
,,Nicky.Crownover,DEDUC,,,Nicky M Crownover,"CN=Nicky.Crownover,OU=Usa,OU=NA,DC=abc,DC=local",913813,,,Nicky,,,,,,ncrownover@abccorp.com,,,,,,,,,,,,,,,,Crownover,"Chicago, IL",,,,,AR Deduction Coordinator,,top,,S-1-5-21-1622704856-2119577735-116698500-1124,{80e4aa2f-3887-47f8-becb-bced401135b6},Nicky.Crownover,513,,Normal User Account,Deductions Department,,,Not Set,,,,,,,,,,,0,ABC\Nicky.Crownover,,
,,Numbers.Dingess,,,,"Numbers, Dingess (Contractor)","CN=Numbers.Dingess,OU=Usa,OU=NA,DC=abc,DC=local",15431601,,,Numbers,,,,,,,,,,,,,,,,,,,,,,Dingess,,,,,,Jonesboro,,top,,S-1-5-21-1622704856-2119577735-116698500-1221,{0af1af31-86f9-428c-bf29-9db9277a4455},Numbers.Dingess,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Numbers.Dingess,,
,,Ollie.Ehrlich,JN,,,Ollie B Ehrlich,"CN=Ollie.Ehrlich,OU=Usa,OU=NA,DC=abc,DC=local",779103,,,Ollie,,,,,,oehrlich@abccorp.com,,,,,,,,,,,,,,,,Ehrlich,"Nashville, TN",,,,,Operator B - JB,,top,,S-1-5-21-1622704856-2119577735-116698500-1151,{fc5adc2b-308a-45f1-9633-cf43e4bb13d4},Ollie.Ehrlich,513,,Normal User Account,Jonesboro,,,Not Set,,,,,,,,,,,0,ABC\Ollie.Ehrlich,,
,,Pearle.Roda,SLGH,,,Pearle L Roda,"CN=Pearle.Roda,OU=Usa,OU=NA,DC=abc,DC=local",382853,,,Pearle,,,,,,proda@abccorp.com,,,,,,,,,,,,,,,,Roda,"Chicago, IL",,,,,Sr Account Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1131,{946b8c9a-47a9-4614-980b-7edbd084833c},Pearle.Roda,513,,Normal User Account,GROCERY HQ,,,Not Set,,,,,,,,,,,0,ABC\Pearle.Roda,,
,,Perla.Slone,SLSUP,,,Perla S Slone,"CN=Perla.Slone,OU=Usa,OU=NA,DC=abc,DC=local",820537,,,Perla,,,,,,pslone@abccorp.com,,,,,,,,,,,,,,,,Slone,"Chicago, IL",,,,,Dir Retail Sales Excel,,top,,S-1-5-21-1622704856-2119577735-116698500-1169,{207f1162-b12c-466d-954f-71721136149e},Perla.Slone,513,,Normal User Account,Sales Support,,,Not Set,,,,,,,,,,,0,ABC\Perla.Slone,,
,,Renate.Sylvestre,,,,"Renate, Sylvestre (Contractor)","CN=Renate.Sylvestre,OU=Usa,OU=NA,DC=abc,DC=local",15435342,,,Renate,,,,,,,,,,,,,,,,,,,,,,Sylvestre,,,,,,Contractor,,top,,S-1-5-21-1622704856-2119577735-116698500-1252,{ff6c58a9-e968-4542-b314-27acbaed0253},Renate.Sylvestre,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Renate.Sylvestre,,
,,Rivka Gillen,SLPF,,,Rivka M Gillen,"CN=Rivka Gillen,OU=Usa,OU=NA,DC=abc,DC=local",727426,,,Rivka,,,,,,rgillen@abccorp.com,,,,,,,,,,,,,,,,Gillen,"Los Angeles, CA",,,,,Sr. Dir Private Lbl Sales,,top,"CN=IT Team Access,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1118,{087410e4-3db3-45da-b041-3d19a95ebdfc},Rivka Gillen,513,,Normal User Account,PRIVATE LABEL FS MILITARY,,,Not Set,,,,,,,,,,,0,ABC\Rivka Gillen,,
,,Rocio.Harshbarger,,,,Rocio G Harshbarger,"CN=Rocio.Harshbarger,OU=Usa,OU=NA,DC=abc,DC=local",368776,,,Rocio,,,,,,rharshbarger@abccorp.com,,,,,,,,,,,,,,,,Harshbarger,"Chicago, IL",,,,,Oven Oper. SW/SS/SWAB,,top,"CN=Niagara Falls,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1126,{73bc0f7e-c8f3-439c-ac99-d3451906d09e},Rocio.Harshbarger,513,,Normal User Account,Niagara Falls,,,Not Set,,,,,,,,,,,0,ABC\Rocio.Harshbarger,,
,,Rodney.Seabrooks,X,,,Rod H Seabrooks,"CN=Rodney.Seabrooks,OU=Usa,OU=NA,DC=abc,DC=local",985789,,,Rodney,,,,,,rseabrooks@abccorp.com,,,,,,,,,,,,,,,,Seabrooks,"Orlando, FL",,,,,Operations Supervisor,,top,,S-1-5-21-1622704856-2119577735-116698500-1207,{4f53bb98-1071-4f97-bfa5-b578c8ba6dfe},Rodney.Seabrooks,513,,Normal User Account,X Shift,,,Not Set,,,,,,,,,,,0,ABC\Rodney.Seabrooks,,
,,Roseanna.Barletta,K,,,Roseanna H Barletta,"CN=Roseanna.Barletta,OU=Usa,OU=NA,DC=abc,DC=local",574853,,,Roseanna,,,,,,rbarletta@abccorp.com,,,,,,,,,,,,,,,,Barletta,"Chicago, IL",,,,,Specialist - TR,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1166,{81910079-b633-4372-a918-5baa99f2d1f8},Roseanna.Barletta,513,,Normal User Account,K Shift,,,Not Set,,,,,,,,,,,0,ABC\Roseanna.Barletta,,
,,Ross.Degree,H,,,Ross A Degree,"CN=Ross.Degree,OU=Usa,OU=NA,DC=abc,DC=local",922520,,,Ross,,,,,,rdegree@abccorp.com,,,,,,,,,,,,,,,,Degree,"Charlotte, NC",,,,,Specialist,,top,,S-1-5-21-1622704856-2119577735-116698500-1119,{184d04b6-3ab7-45b2-b6fe-8f3d31ce31f6},Ross.Degree,513,,Normal User Account,H Shift,,,Not Set,,,,,,,,,,,0,ABC\Ross.Degree,,
,,Rubi.Rusk,,,,"Rubi, Rusk (Contractor)","CN=Rubi.Rusk,OU=Usa,OU=NA,DC=abc,DC=local",15429966,,,Rubi,,,,,,,,,,,,,,,,,,,,,,Rusk,,,,,,Battle Creek,,top,,S-1-5-21-1622704856-2119577735-116698500-1227,{501ff5fa-3b2c-41ae-84bf-1ed174f475ca},Rubi.Rusk,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Rubi.Rusk,,
,,Santos.Buchholtz,,,,"Santos, Buchholtz (Contractor)","CN=Santos.Buchholtz,OU=Usa,OU=NA,DC=abc,DC=local",15434128,,,Santos,,,,,,,,,,,,,,,,,,,,,,Buchholtz,,,,,,Contractor - Office,,top,,S-1-5-21-1622704856-2119577735-116698500-1218,{10129368-fd57-4a87-9810-a5ab75256528},Santos.Buchholtz,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Santos.Buchholtz,,
,,Scarlett.Ditzler,,,,"Scarlett, Ditzler (Contractor)","CN=Scarlett.Ditzler,OU=Usa,OU=NA,DC=abc,DC=local",15431631,,,Scarlett,,,,,,,,,,,,,,,,,,,,,,Ditzler,,,,,,Contractor - LT,,top,,S-1-5-21-1622704856-2119577735-116698500-1213,{929a5f59-e981-4424-9307-8299f781d68e},Scarlett.Ditzler,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Scarlett.Ditzler,,
,,Shaneka.Creighton,CONTR,,,Shaneka K Creighton,"CN=Shaneka.Creighton,OU=Usa,OU=NA,DC=abc,DC=local",108883,,,Shaneka,,,,,,screighton@abccorp.com,,,,,,,,,,,,,,,,Creighton,"Portland, OR",,,,,VP Controller,,top,"CN=All AD Users,OU=Groups,DC=abc,DC=local",S-1-5-21-1622704856-2119577735-116698500-1132,{8d6c2320-bd31-4f75-ba9d-b2431bc01de4},Shaneka.Creighton,513,,Normal User Account,Controller,,,Not Set,,,,,,,,,,,0,ABC\Shaneka.Creighton,,
,,Shaniqua.Molter,,,,Shaniqua J Molter,"CN=Shaniqua.Molter,OU=Usa,OU=NA,DC=abc,DC=local",402795,,,Shaniqua,,,,,,smolter@abccorp.com,,,,,,,,,,,,,,,,Molter,"Minneapolis, MN",,,,,"Dir, Benefits Admin",,top,,S-1-5-21-1622704856-2119577735-116698500-1194,{28ff1873-6d2e-46f5-8737-d7420a704d3f},Shaniqua.Molter,513,,Normal User Account,Human Resources,,,Not Set,,,,,,,,,,,0,ABC\Shaniqua.Molter,,
,,Shasta.Pratts,,,,"Shasta, Pratts (Contractor)","CN=Shasta.Pratts,OU=Usa,OU=NA,DC=abc,DC=local",15432284,,,Shasta,,,,,,,,,,,,,,,,,,,,,,Pratts,,,,,,Contractor-Geodis,,top,,S-1-5-21-1622704856-2119577735-116698500-1217,{70821c33-2582-4de7-96f5-38fb4813a17e},Shasta.Pratts,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Shasta.Pratts,,
,,Sima.Pittsley,,,,"Sima, Pittsley (Contractor)","CN=Sima.Pittsley,OU=Usa,OU=NA,DC=abc,DC=local",15429543,,,Sima,,,,,,,,,,,,,,,,,,,,,,Pittsley,,,,,,Contractor - GL2,,top,,S-1-5-21-1622704856-2119577735-116698500-1220,{410ee9a5-ac4b-4f64-a7b8-f94a2a8527b3},Sima.Pittsley,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Sima.Pittsley,,
,,Socorro.Gilham,,,,"Socorro, Gilham (Contractor)","CN=Socorro.Gilham,OU=Usa,OU=NA,DC=abc,DC=local",15429989,,,Socorro,,,,,,,,,,,,,,,,,,,,,,Gilham,,,,,,Contractor Geodis,,top,,S-1-5-21-1622704856-2119577735-116698500-1246,{efe79bdd-8c90-4940-91f6-416e473aa70f},Socorro.Gilham,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Socorro.Gilham,,
,,Starla.Fulmer,,,,"Starla, Fulmer (Contractor)","CN=Starla.Fulmer,OU=Usa,OU=NA,DC=abc,DC=local",15434282,,,Starla,,,,,,,,,,,,,,,,,,,,,,Fulmer,,,,,,Contractor,,top,,S-1-5-21-1622704856-2119577735-116698500-1232,{4b0751f5-3c85-48b7-b33b-7cd6c00fcce2},Starla.Fulmer,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Starla.Fulmer,,
,,Susann.Franzoni,,,,"Susann, Franzoni (Contractor)","CN=Susann.Franzoni,OU=Usa,OU=NA,DC=abc,DC=local",15429650,,,Susann,,,,,,,,,,,,,,,,,,,,,,Franzoni,,,,,,Contractor - Office,,top,,S-1-5-21-1622704856-2119577735-116698500-1238,{77968bf2-8a19-431d-a19e-85836673c986},Susann.Franzoni,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Susann.Franzoni,,
,,Sybil.Gillikin,SLCM,,,Sybil A Gillikin,"CN=Sybil.Gillikin,OU=Usa,OU=NA,DC=abc,DC=local",543535,,,Sybil,,,,,,sgillikin@abccorp.com,,,,,,,,,,,,,,,,Gillikin,"New York, NY",,,,,Category Manager,,top,,S-1-5-21-1622704856-2119577735-116698500-1133,{25395a08-1201-4ba1-9410-a50726204dce},Sybil.Gillikin,513,,Normal User Account,CATEGORY MANAGEMENT,,,Not Set,,,,,,,,,,,0,ABC\Sybil.Gillikin,,
,,Tabitha.Barnett,,,,"Tabitha, Barnett (Contractor)","CN=Tabitha.Barnett,OU=Usa,OU=NA,DC=abc,DC=local",15431731,,,Tabitha,,,,,,,,,,,,,,,,,,,,,,Barnett,,,,,,Contractor,,top,,S-1-5-21-1622704856-2119577735-116698500-1225,{c92c4bf0-82e4-4d75-826a-d4d7d1012d2b},Tabitha.Barnett,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Tabitha.Barnett,,
,,Takisha.Pille,,,,"Takisha, Pille (Contractor)","CN=Takisha.Pille,OU=Usa,OU=NA,DC=abc,DC=local",15430216,,,Takisha,,,,,,,,,,,,,,,,,,,,,,Pille,,,,,,Contractor - OHL,,top,,S-1-5-21-1622704856-2119577735-116698500-1241,{62717d1d-94dc-46f1-bb02-1e35e4aeb8dd},Takisha.Pille,513,,Normal User Account,,,,Not Set,,,,,,,,,,,0,ABC\Takisha.Pille,,
